sentences;
"according to smith (2008), there is a need for substantial and consistent support and encouragement for women to participate in studies.;";
"thus, experiencing a task that leads to decrements in feelings of relatedness may affect people's ability to experience intrinsic motivation by also influencing people's mood.;";
"The ostracism alarm comes in the form of feeling social pain, resulting in negative affect and threats to basic needs.;";
"unexpected rejection leads to more aggressive responses.;";
"based on my findings with the tracing task, it appears that ostracism affects the ability to persist at a difficult task, but not the ability to initiate the task.;";
"since altruism is a form of unconditional kindness, it cannot explain the phenomenon of conditional cooperation, ie, the fact that many people are willing to increase their voluntary cooperation in response to the cooperation of the other players.;";
"the present research tests the hypothesis that, because of this unwillingness to regulate the self, excluded (relative to included or control) participants are more likely to exhibit the confirmation bias (fischer, Greitemeyer, & frey, 2008).;";
"Furthermore, it is believed that the pursuit of selfesteem lies in an individuals need to manage their anxieties and fears (Crocker & Park, 2004; Greenberg 6 et al., 1992).;";
"the drops in performance we did observe among ostracized participants could be stronger with less interesting tasks.;"; a more interesting task might serve as a more appealing means to recover from the ostracism experience than a boring task would.
"because each instance of qualitative research is perceived as a unique process requiring the researcher to craft his or her own method, flexibility, versatility, and creativity have been emphasised, methodological ambiguity tolerated as an inescapable, even desirable, component of the process.;";
"these data fully support our main hypothesis, and show not only that self affirmation can facilitate non-defensive processing among unrealistic optimists but that its absence in the face of threat can foster such defensive processing.;";
"the cluster analysis results suggest that the built environment is the outcome of mode of governance producing places and contradictions.;";
"ethnographers might become an advocate when they become """"aware of an issue"""" through their research or when they become """"more deeply committed to the issue"""" (p.151) through their research.;";
"Accumulated total earnings are negatively correlated with the likelihood of repayment.;";
"producing valid and relevant information therefore requires organisation of the in‐flow of information as well as a degree of critical distance kept with the field intensity.;";
